    4.512 INFO     Updating inventory 45: Vcenter
    5.809 DEBUG    Using base command: python /usr/bin/ansible-inventory -i /var/lib/awx/venv/awx/lib64/python3.6/site-packages/awx/plugins/inventory/vmware_inventory.py --playbook-dir /var/lib/awx/venv/awx/lib64/python3.6/site-packages/awx/plugins/inventory -vvvvv
    5.810 INFO     Reading Ansible inventory source: /var/lib/awx/venv/awx/lib64/python3.6/site-packages/awx/plugins/inventory/vmware_inventory.py
    5.813 INFO     Using VIRTUAL_ENV: /var/lib/awx/venv/ansible
    5.813 INFO     Using PATH: /var/lib/awx/venv/ansible/bin:/var/lib/awx/venv/awx/bin:/opt/rh/rh-python36/root/usr/bin:/var/lib/awx/venv/awx/bin:/var/lib/awx/venv/awx/bin:/opt/rh/rh-python36/root/usr/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin
    5.813 INFO     Using PYTHONPATH: /var/lib/awx/venv/ansible/lib/python2.7/site-packages:
    5.825 DEBUG    Using private credential data in '/tmp/awx_410_avhlspu2'.
    5.828 DEBUG    Using fresh temporary directory '/tmp/awx_proot_bgb9o_an' for isolation.
    5.828 DEBUG    Running from `/var/lib/awx/venv/awx/lib/python3.6/site-packages/awx/plugins/inventory` working directory.
   77.616 ERROR    ansible-inventory 2.8.2
   77.623 ERROR      config file = /etc/ansible/ansible.cfg
   77.624 ERROR      configured module search path = [u'/var/lib/awx/.ansible/plugins/modules', u'/usr/share/ansible/plugins/modules']
   77.624 ERROR      ansible python module location = /usr/lib/python2.7/site-packages/ansible
   77.624 ERROR      executable location = /usr/bin/ansible-inventory
   77.624 ERROR      python version = 2.7.5 (default, Aug  7 2019, 00:51:29) [GCC 4.8.5 20150623 (Red Hat 4.8.5-39)]
   77.624 ERROR    Using /etc/ansible/ansible.cfg as config file
   77.625 ERROR    setting up inventory plugins
   77.625 ERROR    Parsed /var/lib/awx/venv/awx/lib64/python3.6/site-packages/awx/plugins/inventory/vmware_inventory.py inventory source with script plugin
   77.648 DEBUG    Finished loading from source: /var/lib/awx/venv/awx/lib64/python3.6/site-packages/awx/plugins/inventory/vmware_inventory.py
   77.653 INFO     Processing JSON output...
   77.660 DEBUG    Loaded group: all
   77.662 DEBUG    Loaded group: None
   77.663 DEBUG    Adding child group None to parent all
   77.664 DEBUG    Loaded host: Openvas Scanner_423f4439-9f1d-b66a-daa4-0627dbd8176e
   77.665 DEBUG    Adding host Openvas Scanner_423f4439-9f1d-b66a-daa4-0627dbd8176e to group None
   77.665 DEBUG    Loaded host: rhev_host43_423f08fa-dfa4-3105-e97f-401a63396dec
   77.665 DEBUG    Adding host rhev_host43_423f08fa-dfa4-3105-e97f-401a63396dec to group None
   77.665 DEBUG    Loaded host: rhvhost1_423f22e9-3ef5-0fc1-bd78-20367ce457b2
   77.666 DEBUG    Adding host rhvhost1_423f22e9-3ef5-0fc1-bd78-20367ce457b2 to group None
